state,best,wins
000211001,-1,-64
000211002,7,-72
000211010,-1,-72
000211011,-1,-12
000211012,1,-13
000211020,8,-84
000211021,-1,-14
000211022,6,-11
000211100,-1,-64
000211101,-1,-15
000211102,2,-13
000211110,-1,-15
000211111,-2,-1
000211112,-1,-4
000211120,2,-13
000211121,-1,-4
000211122,2,-2
000211200,0,-67
000211201,0,-14
000211202,7,-10
000211210,0,-13
000211211,0,-5
000211212,0,-3
000211220,8,-14
000211221,0,-5
000211222,-3,1
000212000,0,-504
000212001,0,-82
000212002,2,-73
000212010,-1,-80
000212011,-1,-15
000212012,2,-13
000212020,8,-102
000212021,0,-17
000212022,6,-14
000212100,2,-82
000212101,-1,-15
000212102,2,-16
000212110,-1,-15
000212111,-2,-1
000212112,2,-5
000212120,2,-17
000212121,-1,-4
000212122,2,-5
000212200,0,-73
000212201,0,-16
000212202,7,-9
000212210,0,-13
000212211,0,-5
000212212,2,-4
000212220,8,-14
000212221,0,-5
000212222,-3,1
000220000,5,-1679
000220001,5,-317
000220002,5,-202
000220010,5,-297
000220011,5,-61
000220012,5,-50
000220020,5,-162
000220021,5,-44
000220022,6,-16
000220100,5,-301
000220101,5,-55
000220102,5,-50
000220110,5,-55
000220111,-2,-1
000220112,5,-10
000220120,5,-50
000220121,5,-10
000220122,5,-9
000220200,5,-103
000220201,5,-27
000220202,7,-16
000220210,5,-33
000220211,5,-9
000220212,5,-9
000220220,8,-5
000220221,5,-4
000220222,-3,1
000221000,0,-400
000221001,2,-74
000221002,0,-67
000221010,8,-78
000221011,-1,-18
000221012,0,-11
000221020,1,-61
000221021,1,-13
000221022,6,-9
000221100,8,-72
000221101,-1,-14
000221102,0,-11
000221110,8,-13
000221111,-2,-1
000221112,0,-3
000221120,1,-11
000221121,1,-3
000221122,1,-4
000221200,2,-44
000221201,2,-12
000221202,7,-9
000221210,2,-10
000221211,2,-4
000221212,2,-4
000221220,8,-4
000221221,2,-3
000221222,-3,1
000222000,-3,1
000222001,-3,1
000222002,-3,1
000222010,-3,1
000222011,-3,1
000222012,-3,1
000222020,-3,1
000222021,-3,1
000222022,-3,1
000222100,-3,1
000222101,-3,1
000222102,-3,1
000222110,-3,1
000222111,-2,-1
000222112,-3,1
000222120,-3,1
000222121,-3,1
000222122,-3,1
000222200,-3,1
000222201,-3,1
000222202,-3,1
000222210,-3,1
000222211,-3,1
000222212,-3,1
000222220,-3,1
000222221,-3,1
000222222,-3,1
001000000,6,-22548
001000001,-1,-2086
001000002,6,-2964
001000010,-1,-2864
001000011,-1,-322
001000012,6,-464
001000020,6,-3108
001000021,5,-377
001000022,6,-385
001000100,-1,-2470
001000101,-1,-219
001000102,4,-421
001000110,-1,-346
001000111,-2,-1
001000112,4,-82
001000120,4,-405
001000121,-1,-64
001000122,4,-88
001000200,0,-2588
001000201,5,-329
001000202,7,-265
001000210,0,-400
001000211,-1,-60
001000212,4,-60
001000220,8,-321
001000221,-1,-68
001000222,-3,1
001001000,-1,-2502
001001001,-2,-1
001001002,7,-468
001001010,-1,-449
001001011,-2,-1
001001012,4,-78
001001020,8,-417
001001021,-2,-1
001001022,6,-73
001001100,-1,-346
001001101,-2,-1
001001102,4,-82
001001110,-1,-80
001001111,-2,-1
001001112,4,-21
001001120,-1,-76
001001121,-2,-1
001001122,4,-21
001001200,8,-369
001001201,-2,-1
001001202,7,-61
001001210,-1,-72
001001211,-2,-1
001001212,4,-16
001001220,8,-57
001001221,-2,-1
001001222,-3,1
001002000,4,-3074
001002001,4,-412
001002002,6,-452
001002010,4,-448
001002011,-1,-60
001002012,4,-72
001002020,6,-488
001002021,4,-84
001002022,6,-67
001002100,4,-405
001002101,-1,-64
001002102,4,-88
001002110,-1,-76
001002111,-2,-1
001002112,4,-21
001002120,4,-88
001002121,4,-17
001002122,4,-21
001002200,0,-368
001002201,0,-72
001002202,7,-67
001002210,0,-60
001002211,0,-12
001002212,0,-12
001002220,8,-67
001002221,0,-16
001002222,-3,1
001010000,-1,-2054
001010001,-1,-243
001010002,6,-369
001010010,-1,-322
001010011,-1,-40
001010012,-1,-56
001010020,6,-381
001010021,-1,-48
001010022,6,-65
001010100,-2,-1
001010101,-2,-1
001010102,-2,-1
001010110,-2,-1
001010111,-2,-1
001010112,-2,-1
001010120,-2,-1
001010121,-2,-1
001010122,-2,-1
001010200,0,-392
001010201,-1,-52
001010202,7,-55
001010210,-1,-60
001010211,-1,-15
001010212,1,-13
001010220,8,-67
001010221,-1,-14
001010222,-3,1
001011000,-1,-219
001011001,-2,-1
001011002,-1,-64
001011010,-1,-40
001011011,-2,-1
001011012,-1,-15
001011020,-1,-56
001011021,-2,-1
001011022,6,-14
001011100,-2,-1
001011101,-2,-1
001011102,-2,-1
001011110,-2,-1
001011111,-2,-1
001011112,-2,-1
001011120,-2,-1
001011121,-2,-1
001011122,-2,-1
001011200,-1,-60
001011201,-2,-1
001011202,7,-13
001011210,-1,-15
001011211,-2,-1
001011212,-1,-4
001011220,8,-14
001011221,-2,-1
001011222,-3,1
001012000,6,-365
001012001,-1,-56
001012002,6,-70
001012010,-1,-56
001012011,-1,-15
001012012,-1,-14
001012020,6,-82
