state,best,wins
000220220,8,20
000220221,5,12
000220222,-2,1
000221000,8,448
000221001,2,67
000221002,7,64
000221010,8,84
000221011,6,14
000221012,6,13
000221020,8,72
000221021,2,13
000221022,6,15
000221100,8,72
000221101,7,10
000221102,7,13
000221110,8,11
000221111,-3,-1
000221112,2,2
000221120,8,13
000221121,2,3
000221122,2,4
000221200,8,64
000221201,2,14
000221202,7,15
000221210,8,14
000221211,2,5
000221212,2,4
000221220,8,12
000221221,2,5
000221222,-2,1
000222000,-2,1
000222001,-2,1
000222002,-2,1
000222010,-2,1
000222011,-2,1
000222012,-2,1
000222020,-2,1
000222021,-2,1
000222022,-2,1
000222100,-2,1
000222101,-2,1
000222102,-2,1
000222110,-2,1
000222111,-3,-1
000222112,-2,1
000222120,-2,1
000222121,-2,1
000222122,-2,1
000222200,-2,1
000222201,-2,1
000222202,-2,1
000222210,-2,1
000222211,-2,1
000222212,-2,1
000222220,-2,1
000222221,-2,1
000222222,-2,1
001000000,8,19428
001000001,5,1751
001000002,7,2964
001000010,8,2762
001000011,6,202
001000012,6,432
001000020,8,2838
001000021,5,297
001000022,6,433
001000100,4,1823
001000101,7,103
001000102,4,361
001000110,8,242
001000111,-3,-1
001000112,4,73
001000120,4,329
001000121,5,44
001000122,4,73
001000200,8,2588
001000201,5,265
001000202,7,329
001000210,8,368
001000211,5,67
001000212,5,72
001000220,8,369
001000221,5,61
001000222,-2,1
001001000,8,2005
001001001,-3,-1
001001002,7,452
001001010,8,341
001001011,-3,-1
001001012,6,96
001001020,8,353
001001021,-3,-1
001001022,6,86
001001100,8,242
001001101,-3,-1
001001102,4,73
001001110,8,44
001001111,-3,-1
001001112,4,19
001001120,8,44
001001121,-3,-1
001001122,4,19
001001200,8,321
001001201,-3,-1
001001202,7,68
001001210,8,67
001001211,-3,-1
001001212,4,16
001001220,8,57
001001221,-3,-1
001001222,-2,1
001002000,8,2804
001002001,7,364
001002002,7,468
001002010,8,400
001002011,6,67
001002012,6,90
001002020,8,504
001002021,6,78
